Number,jid,owner,seq,scn,shot,dept,version,title,first_task,last_task,spool_time,start_time,stop_time,pause_time,num_tasks,num_done,num_ready,num_error,num_active,num_blocked,elapsed_secs,tid,title,state,ready_time,active_time,state_time,retry_count
,,,,,,,,,,,,,,,,,,,,,,66,Processing 1065-1065,done,2015-04-09 02:01:06.478+08,2015-04-09 02:02:20.079997+08,2015-04-09 04:36:35.829+08,0
,,,,,,,,,,,,,,,,,,,,,,67,Processing 1066-1066,done,2015-04-09 02:01:06.478+08,2015-04-09 02:02:30.447603+08,2015-04-09 04:38:20.357+08,0
,,,,,,,,,,,,,,,,,,,,,,68,Processing 1067-1067,done,2015-04-09 23:13:37.876+08,2015-04-09 23:13:58.952948+08,2015-04-10 01:50:29.924+08,2
,,,,,,,,,,,,,,,,,,,,,,69,Processing 1068-1068,done,2015-04-09 23:13:37.876+08,2015-04-09 23:14:00.689961+08,2015-04-10 01:49:01.984+08,1
,,,,,,,,,,,,,,,,,,,,,,70,Processing 1069-1069,done,2015-04-09 23:13:37.876+08,2015-04-09 23:14:09.0806+08,2015-04-10 01:48:39.15+08,1
,,,,,,,,,,,,,,,,,,,,,,71,Processing 1070-1070,done,2015-04-09 02:03:58.444+08,2015-04-09 02:56:32.999543+08,2015-04-09 05:32:42.22+08,0
,,,,,,,,,,,,,,,,,,,,,,72,Processing 1071-1071,done,2015-04-09 02:03:58.444+08,2015-04-09 02:56:41.361648+08,2015-04-09 05:30:37.575+08,0
,,,,,,,,,,,,,,,,,,,,,,73,Processing 1072-1072,done,2015-04-09 23:15:53.86509+08,2015-04-09 23:15:53.866928+08,2015-04-10 01:51:43.589+08,2
,,,,,,,,,,,,,,,,,,,,,,74,Processing 1073-1073,done,2015-04-09 02:03:58.444+08,2015-04-09 02:56:42.667221+08,2015-04-09 05:32:09.321+08,0
,,,,,,,,,,,,,,,,,,,,,,75,Processing 1074-1074,done,2015-04-09 23:13:37.876+08,2015-04-09 23:14:10.310628+08,2015-04-10 01:50:24.275+08,1
,,,,,,,,,,,,,,,,,,,,,,76,Processing 1075-1075,done,2015-04-09 02:03:58.444+08,2015-04-09 02:56:45.09665+08,2015-04-09 05:30:56.945+08,0
