Number,jid,owner,seq,scn,shot,dept,version,title,first_task,last_task,spool_time,start_time,stop_time,pause_time,num_tasks,num_done,num_ready,num_error,num_active,num_blocked,elapsed_secs,tid,title,state,ready_time,active_time,state_time,retry_count
,,,,,,,,,,,,,,,,,,,,,,58,Processing 1057-1057,done,2015-07-17 08:13:43.936+08,2015-07-17 08:45:09.494581+08,2015-07-17 09:44:47.002+08,0
,,,,,,,,,,,,,,,,,,,,,,59,Processing 1058-1058,done,2015-07-17 08:13:43.936+08,2015-07-17 08:45:37.685234+08,2015-07-17 09:44:38.136+08,0
,,,,,,,,,,,,,,,,,,,,,,60,Processing 1059-1059,done,2015-07-17 08:13:43.936+08,2015-07-17 08:46:33.248116+08,2015-07-17 09:46:27.751+08,0
,,,,,,,,,,,,,,,,,,,,,,61,Processing 1060-1060,done,2015-07-17 08:13:43.936+08,2015-07-17 08:48:35.198349+08,2015-07-17 09:48:55.548+08,0
,,,,,,,,,,,,,,,,,,,,,,62,Processing 1061-1061,done,2015-07-17 08:13:43.936+08,2015-07-17 08:49:40.687688+08,2015-07-17 09:50:14.365+08,0
,,,,,,,,,,,,,,,,,,,,,,63,Processing 1062-1062,done,2015-07-17 08:13:43.936+08,2015-07-17 08:51:12.517133+08,2015-07-17 09:52:37.246+08,0
,,,,,,,,,,,,,,,,,,,,,,64,Processing 1063-1063,done,2015-07-17 08:13:43.936+08,2015-07-17 08:51:35.347224+08,2015-07-17 09:52:27.924+08,0
,,,,,,,,,,,,,,,,,,,,,,65,Processing 1064-1064,done,2015-07-17 08:13:43.936+08,2015-07-17 08:52:08.272643+08,2015-07-17 09:53:06.881+08,0
,,,,,,,,,,,,,,,,,,,,,,66,Processing 1065-1065,done,2015-07-17 08:13:43.936+08,2015-07-17 08:52:20.133127+08,2015-07-17 09:53:56.763+08,0
,,,,,,,,,,,,,,,,,,,,,,67,Processing 1066-1066,done,2015-07-17 08:13:43.936+08,2015-07-17 08:52:25.768237+08,2015-07-17 09:54:25.379+08,0
,,,,,,,,,,,,,,,,,,,,,,68,Processing 1067-1067,done,2015-07-17 08:13:43.936+08,2015-07-17 08:52:41.021715+08,2015-07-17 09:54:46.707+08,0
,,,,,,,,,,,,,,,,,,,,,,69,Processing 1068-1068,done,2015-07-17 08:13:43.936+08,2015-07-17 08:53:00.515612+08,2015-07-17 09:54:46.452+08,0
,,,,,,,,,,,,,,,,,,,,,,70,Processing 1069-1069,done,2015-07-17 08:13:43.936+08,2015-07-17 08:54:33.38145+08,2015-07-17 09:56:42.898+08,0
,,,,,,,,,,,,,,,,,,,,,,71,Processing 1070-1070,done,2015-07-17 08:13:43.936+08,2015-07-17 08:55:28.290176+08,2015-07-17 09:57:52.097+08,0
